report_month	billing_year	billing_month	billing_cycle	billing_day	billing_amount
4/1/2024	2024	4	7	7	215632027.7
4/1/2024	2024	4	8	8	166375111.5
4/1/2024	2024	4	9	9	216978596.5
4/1/2024	2024	4	10	10	265936740.5
4/1/2024	2024	4	11	11	69356665.8
4/1/2024	2024	4	12	12	240076540.9
4/1/2024	2024	4	13	13	218077058.4
4/1/2024	2024	4	14	14	74515888.84
4/1/2024	2024	4	15	15	245355841.6
4/1/2024	2024	4	16	16	221621908.9
4/1/2024	2024	4	17	17	71947005.12
4/1/2024	2024	4	18	18	238919452.2
4/1/2024	2024	4	19	19	218569730.3
4/1/2024	2024	4	20	20	224788583.5
4/1/2024	2024	4	21	21	221750102.4
4/1/2024	2024	4	22	22	218815095.1
4/1/2024	2024	4	23	23	322936688.8
4/1/2024	2024	4	24	24	70334903.6
4/1/2024	2024	4	25	25	249202896.4
5/1/2024	2024	4	26	26	220881513.1
5/1/2024	2024	4	27	27	75769689.57
5/1/2024	2024	4	28	28	263706027.4
5/1/2024	2024	4	29	29	67318185.88
5/1/2024	2024	4	30	30	62880067.37
5/1/2024	2024	4	31	30	37770028.73
5/1/2024	2024	5	1	1	328521217.8
5/1/2024	2024	5	2	2	211848284.1
5/1/2024	2024	5	3	3	214683589.8
5/1/2024	2024	5	4	4	213013875.9
5/1/2024	2024	5	5	5	70752385.54
5/1/2024	2024	5	6	6	225970205.6
5/1/2024	2024	5	7	7	215235168.8
5/1/2024	2024	5	8	8	166401436.5
5/1/2024	2024	5	9	9	217289876.9
5/1/2024	2024	5	10	10	265478593.2
5/1/2024	2024	5	11	11	69173766.28
5/1/2024	2024	5	12	12	239401470.2
5/1/2024	2024	5	13	13	217799223.2
5/1/2024	2024	5	14	14	74986276.71
5/1/2024	2024	5	15	15	245679575.3
5/1/2024	2024	5	16	16	221440675.6
5/1/2024	2024	5	17	17	72275476.61
5/1/2024	2024	5	18	18	237798556.6
5/1/2024	2024	5	19	19	217194903.2
5/1/2024	2024	5	20	20	223581216.1
5/1/2024	2024	5	21	21	221132056.9
5/1/2024	2024	5	22	22	217958735.1
5/1/2024	2024	5	23	23	323251580.8
5/1/2024	2024	5	24	24	70475078.76
5/1/2024	2024	5	25	25	248016977.1
6/1/2024	2024	5	26	26	220030988.3
6/1/2024	2024	5	27	27	76158021.7
6/1/2024	2024	5	28	28	264425519
6/1/2024	2024	5	29	29	68247739.45
6/1/2024	2024	5	30	30	64111059.77
6/1/2024	2024	5	31	31	38056060.26
6/1/2024	2024	6	1	1	328444093.9
6/1/2024	2024	6	2	2	212439634.1
6/1/2024	2024	6	3	3	216190304
6/1/2024	2024	6	4	4	214267979.1
6/1/2024	2024	6	5	5	72162104.34
6/1/2024	2024	6	6	6	228343424.7
6/1/2024	2024	6	7	7	217527934.1
6/1/2024	2024	6	8	8	167796999.4
6/1/2024	2024	6	9	9	219539318.5
6/1/2024	2024	6	10	10	267177369.8
6/1/2024	2024	6	11	11	70290281.36
6/1/2024	2024	6	12	12	242167257.9
6/1/2024	2024	6	13	13	220730215
6/1/2024	2024	6	14	14	76379239.93
6/1/2024	2024	6	15	15	248629967.5
6/1/2024	2024	6	16	16	224590344
6/1/2024	2024	6	17	17	73718621.14
6/1/2024	2024	6	18	18	240762046.9
6/1/2024	2024	6	19	19	220299566.6
6/1/2024	2024	6	20	20	226733978.7
6/1/2024	2024	6	21	21	224281568.6
6/1/2024	2024	6	22	22	220685839.2
6/1/2024	2024	6	23	23	324232812.9
6/1/2024	2024	6	24	24	72065811.19
6/1/2024	2024	6	25	25	250965349
7/1/2024	2024	6	26	26	223128376.6
7/1/2024	2024	6	27	27	78063833.07
7/1/2024	2024	6	28	28	266952331.1
7/1/2024	2024	6	29	29	69072496.59
7/1/2024	2024	6	30	30	65313126.12
7/1/2024	2024	6	31	30	38500481.81
7/1/2024	2024	7	1	1	329438071.9
7/1/2024	2024	7	2	2	214341495.2
7/1/2024	2024	7	3	3	216397266.6
7/1/2024	2024	7	4	4	215130993.6
7/1/2024	2024	7	5	5	72922424.77
7/1/2024	2024	7	6	6	228564495.8
7/1/2024	2024	7	7	7	217844343.1
7/1/2024	2024	7	8	8	168814624.5
7/1/2024	2024	7	9	9	
7/1/2024	2024	7	10	10	
7/1/2024	2024	7	11	11	
7/1/2024	2024	7	12	12	
7/1/2024	2024	7	13	13	
7/1/2024	2024	7	14	14	
7/1/2024	2024	7	15	15	
7/1/2024	2024	7	16	16	
7/1/2024	2024	7	17	17	
7/1/2024	2024	7	18	18	
7/1/2024	2024	7	19	19	
7/1/2024	2024	7	20	20	
7/1/2024	2024	7	21	21	
7/1/2024	2024	7	22	22	
7/1/2024	2024	7	23	23	
7/1/2024	2024	7	24	24	
7/1/2024	2024	7	25	25	
